Paper_number,Authors,Paper_date,Lat,Lon,Continent,Country,loc_Name,mean_rate_mm_yr,max_rate_mm_yr,Category,Study_period
63,Canova et al.,2012,37.250068,15.221697,Europe,Italy,Augusta,18,NA,Groundwater,1992-2000
2,Brunori et al.,2013,-27.0667,-70.8178142,South_Am,Argentina,Cerro Blanco/Robledo Caldera,17.6,NA,Tectonic,1992-2010
57,Kim et al.,2008,39.167,127.481,Asia,South Korea,Wonsan,17,53,Urbanization,1992-1998
p41,Hu and Bürgmann,2020,41,-112,North_Am,USA,"Salt Lake Valley, UT",16,NA,Groundwater,2014-2019
57,Kim et al.,2008,34.8118,126.3922,Asia,South Korea,Hadang,16,53,Urbanization,1992-1998
p44,Qu et al.,2019,30,-95,North_Am,USA,"Houston, TX",15,30,Groundwater,2007-2011
p23,Suganthi et al.,2017,22.5726,88.3639,Asia,India,Kolkata,15,18,Groundwater,2007-2010
P17,Roccheggiani et al.,2019,44.405804,8.976346,Europe,Italy,"Genoa, San Martino District",15,30,Urbanization,2015-2018
AF05,Ikuemonisan and Ozebo,2020,6.529184,3.26918,Africa,Nigeria,Lagos,15,NA,Groundwater,2004-2011
32,Lee et al.,2013,52.3123,-172.4537,North_Am,USA,Seguam Island,15,16,Tectonic,1992-2008
117,Heleno et al.,2011,38.8717,-9.0778,Europe,Portugal,Vialonga,14.5,15,Groundwater,1992-2006
45,Ding et al.,2004,22.478,114.044,Asia,Hong Kong,Fairview Park,13,NA,Natural Compaction,1996-1999
p22,Fadhillah et al.,2020,37.563933,126.800717,Asia,South Korea,Seoul,12.57,NA,Urbanization,2017-2020
141,Bawden et al.,2001,33.826032,-117.867038,North_Am,USA,"Santa Ana Basin, CA",12,NA,Groundwater,1997-1999
117,Heleno et al.,2011,38.7167,-9.1333,Europe,Portugal,Laranjeiras,11.5,14,Groundwater,1992-2006
110,Ao et al.,2014,23.12911,113.264385,Asia,China,Nansha,11.42,38.47,Urbanization,2012-2013
57,Kim et al.,2008,34.8118,126.3922,Asia,South Korea,Dongmyung,11,66,Urbanization,1992-1998
